Name                                                               Version
libhtml-tree-perl                                                  5.07-1
libhttp-body-perl                                                  1.22-1
libhttp-cookies-perl                                               6.04-1
libhttp-date-perl                                                  6.02-1
libhttp-headers-fast-perl                                          0.21-1
libhttp-message-perl                                               6.14-1
libhttp-negotiate-perl                                             6.00-2
libimage-magick-perl                                               8:6.9.7.4+dfsg-16ubuntu6.11
libimage-magick-q16-perl                                           8:6.9.7.4+dfsg-16ubuntu6.11
libimport-into-perl                                                1.002005-1
libinotifytools0                                                   3.14-2
libio-html-perl                                                    1.001-1
libio-socket-ssl-perl                                              2.060-3~ubuntu18.04.1
libjs-jquery                                                       3.2.1-1
libjs-underscore                                                   1.8.3~dfsg-1ubuntu0.1
libjson-glib-1.0-common                                            1.4.2-3ubuntu0.18.04.1
libjson-perl                                                       2.97001-1
libklibc                                                           2.0.4-9ubuntu2
liblockfile-bin                                                    1.14-1.1
liblwp-mediatypes-perl                                             6.02-1
liblwp-protocol-https-perl                                         6.07-2
libmodule-find-perl                                                0.13-1
libmodule-implementation-perl                                      0.09-1
libmodule-pluggable-perl                                           5.2-1
libmodule-runtime-perl                                             0.016-1
libmoo-perl                                                        2.003004-1
libmouse-perl                                                      2.5.2-1
libmousex-types-perl                                               0.06-2
libmro-compat-perl                                                 0.13-1
libnamespace-clean-perl                                            0.27-1
libnet-http-perl                                                   6.17-1
libnet-ssleay-perl                                                 1.84-1ubuntu0.2
libpackage-stash-perl                                              0.37-1
libpam-modules-bin                                                 1.1.8-3.6ubuntu2.18.04.6
libpam-runtime                                                     1.1.8-3.6ubuntu2.18.04.6
libparams-classify-perl                                            0.015-1
libparams-util-perl                                                1.07-3build3
libparams-validate-perl                                            1.29-1
libpath-class-perl                                                 0.37-1
libqdbm14                                                          1.8.78-6.1ubuntu2
librados2                                                          12.2.13-0ubuntu0.18.04.8
librbd1                                                            12.2.13-0ubuntu0.18.04.8
librole-tiny-perl                                                  2.000006-1
libscope-guard-perl                                                0.21-1
libsemanage-common                                                 2.7-2build2
libsql-abstract-limit-perl                                         2:0.14.1-5
libsql-abstract-perl                                               1.85-1
libstrictures-perl                                                 2.000003-1
libsub-exporter-perl                                               0.987-1
libsub-exporter-progressive-perl                                   0.001013-1
libsub-identify-perl                                               0.14-1
libsub-install-perl                                                0.928-1
libsub-name-perl                                                   0.21-1build1
libsub-quote-perl                                                  2.005000-1
libswitch-perl                                                     2.17-2
libtemplate-perl                                                   2.27-1
libtext-csv-xs-perl                                                1.34-1
libtimedate-perl                                                   2.3000-2
libtool                                                            2.4.6-2
libtool-bin                                                        2.4.6-2
liburi-perl                                                        1.73-1
libuuid-tiny-perl                                                  1.0400-2
libvariable-magic-perl                                             0.62-1
libwww-perl                                                        6.31-1ubuntu0.1
libwww-robotrules-perl                                             6.01-1
libxcrypt1                                                         1:2.4-4
libyaml-perl                                                       1.24-1
linux-base                                                         4.5ubuntu1.6
linux-headers-4.19.75-0000000-generic-v4.19.75-241-g0fb91c28a25c   4.19.75-0000000-generic-v4.19.75-241-g0fb91c28a25c-1
linux-image-4.19.75-0000000-generic-v4.19.75-241-g0fb91c28a25c     4.19.75-0000000-generic-v4.19.75-241-g0fb91c28a25c-1
linux-image-4.19.75-0000000-generic-v4.19.75-241-g0fb91c28a25c-dbg 4.19.75-0000000-generic-v4.19.75-241-g0fb91c28a25c-1
linux-libc-dev                                                     4.19.75-0000000-generic-v4.19.75-241-g0fb91c28a25c-1
locate                                                             4.6.0+git+20170828-2
login                                                              1:4.5-1ubuntu2
lprng                                                              3.8.B-2.1
lsb-base                                                           9.20170808ubuntu1
lsb-release                                                        9.20170808ubuntu1
lsof                                                               4.89+dfsg-0.1
lvm2                                                               2.02.176-4.1ubuntu3.18.04.4
make                                                               4.1-9.1ubuntu1
mawk                                                               1.3.3-17ubuntu3
mbuffer                                                            20171011-1ubuntu1
mdadm                                                              4.1~rc1-3~ubuntu18.04.4
memtester                                                          4.3.0-4
monit                                                              1:5.25.1-1build1
mount                                                              2.31.1-0.4ubuntu3.7
mtd-utils                                                          1:2.0.1-1ubuntu3
multiarch-support                                                  2.27-3ubuntu1.6
mysql-client-5.7                                                   5.7.35-0ubuntu0.18.04.1
mysql-client-core-5.7                                              5.7.35-0ubuntu0.18.04.1
mysql-common                                                       5.8+1.0.4
mysql-server-5.7                                                   5.7.35-0ubuntu0.18.04.1
mysql-server-core-5.7                                              5.7.35-0ubuntu0.18.04.1
net-tools                                                          1.60+git20161116.90da8a0-1ubuntu1
netbase                                                            5.4
nfs-common                                                         1:1.3.4-2.1ubuntu5.5
nfs-kernel-server                                                  1:1.3.4-2.1ubuntu5.5
openssl                                                            3.0.8-1ubuntu1.2~18.04.1
parted                                                             3.2-20ubuntu0.2
passwd                                                             1:4.5-1ubuntu2.5
patch                                                              2.7.6-2ubuntu1.1
pciutils                                                           1:3.5.2-1ubuntu1.1
perl                                                               5.26.1-6ubuntu0.5
perl-base                                                          5.26.1-6ubuntu0.5
perl-modules-5.26                                                  5.26.1-6ubuntu0.5
perlmagick                                                         8:6.9.7.4+dfsg-16ubuntu6.11
php-pear                                                           1:1.10.5+submodules+notgz-1ubuntu1.18.04.4
php-php-gettext                                                    1.0.12-0.1
php7.2                                                             7.2.24-0ubuntu0.18.04.8
php7.2-cli                                                         7.2.24-0ubuntu0.18.04.8
php7.2-common                                                      7.2.24-0ubuntu0.18.04.8
php7.2-json                                                        7.2.24-0ubuntu0.18.04.8
php7.2-mbstring                                                    7.2.24-0ubuntu0.18.04.8
php7.2-mysql                                                       7.2.24-0ubuntu0.18.04.8
php7.2-opcache                                                     7.2.24-0ubuntu0.18.04.8
php7.2-readline                                                    7.2.24-0ubuntu0.18.04.8
php7.2-xml                                                         7.2.24-0ubuntu0.18.04.8
phpmyadmin                                                         4:4.6.6-5ubuntu0.5
pkg-config                                                         0.29.1-0ubuntu2
procps                                                             2:3.3.12-3ubuntu1.2
proftpd-basic                                                      1.3.5e-1build2
proftpd-dev                                                        1.3.5e-1build2
psmisc                                                             23.1-1ubuntu0.1
python                                                             2.7.15~rc1-1
python-bcrypt                                                      3.1.4-2
python-certifi                                                     2018.1.18-2
python-chardet                                                     3.0.4-1
python-daemon                                                      2.1.2-2
python-dateutil                                                    2.6.1-1
python-enum34                                                      1.1.6-2
python-lockfile                                                    1:0.12.2-2
python-minimal                                                     2.7.15~rc1-1
python-paramiko                                                    2.9.3-0ubuntu1~18.04.1
python-pkg-resources                                               39.0.1-2
python-pycurl                                                      7.43.0.1-0.2
python-pyparsing                                                   2.2.0+dfsg1-2
python-urwid                                                       2.0.1-2
python-websocket                                                   0.44.0-0ubuntu2
python2.7                                                          2.7.17-1~18.04ubuntu1.6
python2.7-minimal                                                  2.7.17-1~18.04ubuntu1.6
python3                                                            3.6.7-1~18.04
python3-bcrypt                                                     3.1.7-2ubuntu1
python3-certifi                                                    2018.1.18-2
python3-chardet                                                    3.0.4-1
python3-dateutil                                                   2.6.1-1
python3-dbus                                                       1.2.6-1
python3-ldb                                                        2:2.4.4-0ubuntu1
python3-minimal                                                    3.6.7-1~18.04
python3-paramiko                                                   2.9.3-0ubuntu1~18.04.1
python3-pkg-resources                                              39.0.1-2
python3-pyparsing                                                  2.2.0+dfsg1-2
python3-samba                                                      2:4.15.9-0ubuntu6
python3-tdb                                                        1.4.4-0ubuntu0.18.04.1
python3-urwid                                                      2.0.1-2
python3.6                                                          3.6.9-1~18.04ubuntu1.4
python3.6-minimal                                                  3.6.9-1~18.04ubuntu1.4
python3.6-venv                                                     3.6.9-1~18.04ubuntu1.4
qdbm-util                                                          1.8.78-6.1ubuntu2
quota                                                              4.04-2ubuntu0.2
readline-common                                                    7.0-3
resolvconf                                                         1.79ubuntu10.18.04.3
rpcbind                                                            0.2.3-0.6ubuntu0.18.04.4
rsync                                                              3.2.3-3ubuntu3
run-one                                                            1.17-0ubuntu1
samba                                                              2:4.15.9-0ubuntu6
samba-common                                                       2:4.15.9-0ubuntu6
samba-common-bin                                                   2:4.15.9-0ubuntu6
sed                                                                4.4-2
sensible-utils                                                     0.0.12
smartmontools                                                      7.0-0ubuntu1~ubuntu18.04.2
smbclient                                                          2:4.15.9-0ubuntu6
snapper                                                            0.5.4-3
sqlite3                                                            3.22.0-1ubuntu0.4
squashfs-tools                                                     1:4.3-6ubuntu0.18.04.3
sshpass                                                            1.06-1
sysstat                                                            11.6.1-1ubuntu0.1
systemd                                                            237-3ubuntu10.56
systemd-sysv                                                       237-3ubuntu10.56
sysvinit-utils                                                     2.88dsf-59.10ubuntu1
tar                                                                1.29b-2ubuntu0.3
tdb-tools                                                          1.4.4-0ubuntu0.18.04.1
thin-provisioning-tools                                            0.7.4-2ubuntu3
u-boot-tools                                                       2020.10+dfsg-1ubuntu0~18.04.2
ubuntu-keyring                                                     2018.09.18.1~18.04.2
ucf                                                                3.0038
udev                                                               237-3ubuntu10.51
update-inetd                                                       4.44
usbutils                                                           1:007-4build1
util-linux                                                         2.31.1-0.4ubuntu3.7
uucp                                                               1.07-24
uuid-runtime                                                       2.31.1-0.4ubuntu3.7
wget                                                               1.19.4-1ubuntu2.2
whois                                                              5.3.0
winbind                                                            2:4.15.9-0ubuntu6
xfsprogs                                                           4.9.0+nmu1ubuntu2
xz-utils                                                           5.2.2-1.3
